Date,Fund,Close
2014-10-19,AIR.NZ,1.8500
2014-10-20,AIR.NZ,1.8600
2014-10-21,AIR.NZ,1.9150
2014-10-22,AIR.NZ,1.9700
2014-10-23,AIR.NZ,2.0000
2014-10-27,AIR.NZ,1.9900
2014-10-28,AIR.NZ,2.0000
2014-10-29,AIR.NZ,2.0200
2014-10-30,AIR.NZ,2.0100
2014-11-02,AIR.NZ,2.0100
2014-11-03,AIR.NZ,2.0050
2014-11-04,AIR.NZ,2.0200
2014-11-05,AIR.NZ,2.0500
2014-11-06,AIR.NZ,2.0900
2014-11-09,AIR.NZ,2.0800
2014-11-10,AIR.NZ,2.0950
2014-11-11,AIR.NZ,2.0900
2014-11-12,AIR.NZ,2.0850
2014-11-13,AIR.NZ,2.1450
2014-11-16,AIR.NZ,2.1500
2014-11-17,AIR.NZ,2.1350
2014-11-18,AIR.NZ,2.1600
2014-11-19,AIR.NZ,2.2000
2014-11-20,AIR.NZ,2.2400
2014-11-23,AIR.NZ,2.1750
2014-11-24,AIR.NZ,2.1800
2014-11-25,AIR.NZ,2.2200
2014-11-26,AIR.NZ,2.3400
2014-11-27,AIR.NZ,2.4300
2014-11-30,AIR.NZ,2.4650
2014-12-01,AIR.NZ,2.4000
2014-12-02,AIR.NZ,2.3900
2014-12-03,AIR.NZ,2.4500
2014-12-04,AIR.NZ,2.3900
2014-12-07,AIR.NZ,2.3800
2014-12-08,AIR.NZ,2.3950
2014-12-09,AIR.NZ,2.3700
2014-12-10,AIR.NZ,2.3900
2014-12-11,AIR.NZ,2.4700
2014-12-14,AIR.NZ,2.4400
2014-12-15,AIR.NZ,2.5000
2014-12-16,AIR.NZ,2.5100
2014-12-17,AIR.NZ,2.5800
2014-12-18,AIR.NZ,2.6100
2014-12-21,AIR.NZ,2.6300
2014-12-22,AIR.NZ,2.6000
2014-12-23,AIR.NZ,2.5900
2014-12-28,AIR.NZ,2.5800
2014-12-29,AIR.NZ,2.5500
2014-12-30,AIR.NZ,2.4700
2015-01-04,AIR.NZ,2.5400
2015-01-05,AIR.NZ,2.5150
2015-01-06,AIR.NZ,2.5500
2015-01-07,AIR.NZ,2.6050
2015-01-08,AIR.NZ,2.6050
2015-01-11,AIR.NZ,2.6000
2015-01-12,AIR.NZ,2.6200
2015-01-13,AIR.NZ,2.6200
2015-01-14,AIR.NZ,2.5850
2015-01-15,AIR.NZ,2.5500
2015-01-18,AIR.NZ,2.5700
2015-01-19,AIR.NZ,2.5700
2015-01-20,AIR.NZ,2.5300
2015-01-21,AIR.NZ,2.5450
2015-01-22,AIR.NZ,2.5300
2015-01-25,AIR.NZ,2.5500
2015-01-26,AIR.NZ,2.5700
2015-01-27,AIR.NZ,2.6200
2015-01-28,AIR.NZ,2.6100
2015-01-29,AIR.NZ,2.6100
2015-02-01,AIR.NZ,2.6300
2015-02-02,AIR.NZ,2.6400
2015-02-03,AIR.NZ,2.5400
2015-02-04,AIR.NZ,2.5900
2015-02-08,AIR.NZ,2.5250
2015-02-09,AIR.NZ,2.5000
2015-02-10,AIR.NZ,2.6100
2015-02-11,AIR.NZ,2.6150
2015-02-12,AIR.NZ,2.6200
2015-02-15,AIR.NZ,2.6200
2015-02-16,AIR.NZ,2.6250
2015-02-17,AIR.NZ,2.6200
2015-02-18,AIR.NZ,2.6200
2015-02-19,AIR.NZ,2.5900
2015-02-22,AIR.NZ,2.6000
2015-02-23,AIR.NZ,2.5750
2015-02-24,AIR.NZ,2.7600
2015-02-25,AIR.NZ,2.8000
2015-02-26,AIR.NZ,2.8500
2015-03-01,AIR.NZ,2.9000
2015-03-02,AIR.NZ,2.9700
2015-03-03,AIR.NZ,2.9550
2015-03-04,AIR.NZ,2.9500
2015-03-05,AIR.NZ,2.9550
2015-03-08,AIR.NZ,2.9500
2015-03-09,AIR.NZ,2.9700
2015-03-10,AIR.NZ,2.8750
2015-03-11,AIR.NZ,2.8650
2015-03-12,AIR.NZ,2.8800
2015-03-15,AIR.NZ,2.8600
2015-03-16,AIR.NZ,2.8550
2015-03-17,AIR.NZ,2.8000
2015-03-18,AIR.NZ,2.8200
2015-03-19,AIR.NZ,2.8500
2015-03-22,AIR.NZ,2.8300
2015-03-23,AIR.NZ,2.7600
2015-03-24,AIR.NZ,2.7500
2015-03-25,AIR.NZ,2.7000
2015-03-26,AIR.NZ,2.6650
2015-03-29,AIR.NZ,2.7100
2015-03-30,AIR.NZ,2.7250
2015-03-31,AIR.NZ,2.7150
2015-04-01,AIR.NZ,2.7100
2015-04-06,AIR.NZ,2.7200
2015-04-07,AIR.NZ,2.7550
2015-04-08,AIR.NZ,2.7800
2015-04-09,AIR.NZ,2.7400
2015-04-12,AIR.NZ,2.7500
2015-04-13,AIR.NZ,2.7750
2015-04-14,AIR.NZ,2.8200
2015-04-15,AIR.NZ,2.8150
2015-04-16,AIR.NZ,2.7800
2015-04-19,AIR.NZ,2.7600
2015-04-20,AIR.NZ,2.7900
2015-04-21,AIR.NZ,2.7900
2015-04-22,AIR.NZ,2.8100
2015-04-23,AIR.NZ,2.7500
2015-04-27,AIR.NZ,2.7450
2015-04-28,AIR.NZ,2.7150
2015-04-29,AIR.NZ,2.7000
2015-04-30,AIR.NZ,2.6900
2015-05-03,AIR.NZ,2.6750
2015-05-04,AIR.NZ,2.7800
2015-05-05,AIR.NZ,2.8000
2015-05-06,AIR.NZ,2.7900
2015-05-07,AIR.NZ,2.7800
2015-05-10,AIR.NZ,2.8100
2015-05-11,AIR.NZ,2.8000
2015-05-12,AIR.NZ,2.8250
2015-05-13,AIR.NZ,2.9000
2015-05-14,AIR.NZ,2.9400
2015-05-17,AIR.NZ,2.9650
2015-05-18,AIR.NZ,2.9300
2015-05-19,AIR.NZ,2.9500
2015-05-20,AIR.NZ,2.9500
2015-05-21,AIR.NZ,2.9000
2015-05-24,AIR.NZ,2.9100
2015-05-25,AIR.NZ,2.9600
2015-05-26,AIR.NZ,2.9300
2015-05-27,AIR.NZ,2.9850
2015-05-28,AIR.NZ,2.9900
2015-06-01,AIR.NZ,2.9250
2015-06-02,AIR.NZ,2.9000
2015-06-03,AIR.NZ,2.8200
2015-06-04,AIR.NZ,2.8000
2015-06-07,AIR.NZ,2.8600
2015-06-08,AIR.NZ,2.8100
2015-06-09,AIR.NZ,2.6700
2015-06-10,AIR.NZ,2.6000
2015-06-11,AIR.NZ,2.6000
